1,2,3
-57.2500E-03,+11.0939445E+00,+23.6522E-03
-57.1340E-03,+10.9136167E+00,+23.0846E-03
-57.0180E-03,+10.7235234E+00,+22.4592E-03
-56.9020E-03,+10.5282109E+00,+21.7959E-03
-56.7860E-03,+10.3283519E+00,+20.9857E-03
-56.6700E-03,+10.1278202E+00,+20.1244E-03
-56.5540E-03,+9.9279613E+00,+19.2185E-03
-56.4380E-03,+9.7228831E+00,+18.1724E-03
-56.3220E-03,+9.5178050E+00,+17.0239E-03
-56.2060E-03,+9.3127269E+00,+15.8309E-03
-56.0900E-03,+9.1076488E+00,+14.5422E-03
-55.9740E-03,+8.9025706E+00,+13.1133E-03
-55.8580E-03,+8.6883995E+00,+11.4929E-03
-55.7420E-03,+8.4683366E+00,+9.7257E-03
-55.6260E-03,+8.2534929E+00,+7.7291E-03
-55.5100E-03,+8.0431956E+00,+5.5280E-03
-55.3940E-03,+7.8381175E+00,+3.2377E-03
-55.2780E-03,+7.6284929E+00,+666.9E-06
-55.1620E-03,+7.4227421E+00,-2.2867E-03
-55.0460E-03,+7.2228831E+00,-5.7123E-03
-54.9300E-03,+7.0132585E+00,-9.7120E-03
-54.8140E-03,+6.8029613E+00,-14.4197E-03
-54.6980E-03,+6.5933366E+00,-19.8995E-03
-54.5820E-03,+6.3784929E+00,-26.3612E-03
-54.4660E-03,+6.1636491E+00,-34.0736E-03
-54.3500E-03,+5.9533519E+00,-43.3354E-03
-54.2340E-03,+5.7528202E+00,-54.6516E-03
-54.1180E-03,+5.5529613E+00,-67.6277E-03
-54.0020E-03,+5.3433366E+00,-80.5492E-03
-53.8860E-03,+5.1330394E+00,-89.6737E-03
-53.7700E-03,+4.9234148E+00,-90.0626E-03
-53.6540E-03,+4.7131175E+00,-81.1636E-03
-53.5380E-03,+4.5080394E+00,-67.8179E-03
-53.4220E-03,+4.2938683E+00,-54.2330E-03
-53.3060E-03,+4.0783519E+00,-42.3379E-03
-53.1900E-03,+3.8732738E+00,-32.5548E-03
-53.0740E-03,+3.6727421E+00,-24.4696E-03
-52.9580E-03,+3.4728831E+00,-17.6351E-03
-52.8420E-03,+3.2678050E+00,-11.9045E-03
-52.7260E-03,+3.0672734E+00,-7.0485E-03
-52.6100E-03,+2.8719609E+00,-2.9514E-03
-52.4940E-03,+2.6766484E+00,+507.1E-06
-52.3780E-03,+2.4858824E+00,+3.5382E-03
-52.2620E-03,+2.3003355E+00,+6.2245E-03
-52.1460E-03,+2.1147886E+00,+8.6748E-03
-52.0300E-03,+1.9246952E+00,+10.8826E-03
-51.9140E-03,+1.7339292E+00,+12.8544E-03
-51.7980E-03,+1.5438359E+00,+14.5836E-03
-51.6820E-03,+1.3530699E+00,+16.1215E-03
-51.5660E-03,+1.1629765E+00,+17.5124E-03
-51.4500E-03,+972.2105E-03,+18.8523E-03
-51.3340E-03,+786.6636E-03,+20.0585E-03
-51.2180E-03,+601.1167E-03,+21.1112E-03
-51.1020E-03,+415.5699E-03,+22.0748E-03
-50.9860E-03,+230.0230E-03,+22.9362E-03
-50.8700E-03,+49.0226E-03,+23.7084E-03
-50.7540E-03,-126.7587E-03,+24.3783E-03
-50.6380E-03,-302.5399E-03,+25.0037E-03
-50.5220E-03,-473.7747E-03,+25.5333E-03
-50.4060E-03,-644.3368E-03,+26.0118E-03
-50.2900E-03,-820.1180E-03,+26.4458E-03
-50.1740E-03,-995.8993E-03,+26.7841E-03
-50.0580E-03,-1.1762270E+00,+27.0712E-03
-49.9420E-03,-1.3572274E+00,+27.3137E-03
-49.8260E-03,-1.5375551E+00,+27.5051E-03
-49.7100E-03,-1.7185555E+00,+27.6520E-03
-49.5940E-03,-1.8943368E+00,+27.7031E-03
-49.4780E-03,-2.0701180E+00,+27.7031E-03
-49.3620E-03,-2.2458993E+00,+27.6586E-03
-49.2460E-03,-2.4216805E+00,+27.5629E-03
-49.1300E-03,-2.5974618E+00,+27.4226E-03
-49.0140E-03,-2.7777895E+00,+27.1866E-03
-48.8980E-03,-2.9542434E+00,+26.8995E-03
-48.7820E-03,-3.1202590E+00,+26.6124E-03
-48.6660E-03,-3.2862747E+00,+26.2362E-03
-48.5500E-03,-3.4522903E+00,+25.8022E-03
-48.4340E-03,-3.6183059E+00,+25.3749E-03
-48.3180E-03,-3.7797751E+00,+24.8518E-03
-48.2020E-03,-3.9405715E+00,+24.2330E-03
-48.0860E-03,-4.1065872E+00,+23.5631E-03
-47.9700E-03,-4.2726028E+00,+22.8486E-03
-47.8540E-03,-4.4431649E+00,+22.0385E-03
-47.7380E-03,-4.6098532E+00,+21.1326E-03
-47.6220E-03,-4.7706497E+00,+20.1310E-03
-47.5060E-03,-4.9412118E+00,+19.0782E-03
-47.3900E-03,-5.1033536E+00,+17.9364E-03
-47.2740E-03,-5.2589309E+00,+16.6477E-03
-47.1580E-03,-5.4294930E+00,+15.3079E-03
-47.0420E-03,-5.6007278E+00,+13.8789E-03
-46.9260E-03,-5.7621969E+00,+12.2585E-03
-46.8100E-03,-5.9184469E+00,+10.4913E-03
-46.6940E-03,-6.0746969E+00,+8.5393E-03
-46.5780E-03,-6.2264004E+00,+6.3893E-03
-46.4620E-03,-6.3774313E+00,+4.1436E-03
-46.3460E-03,-6.5291348E+00,+1.6685E-03
