1,2,3
-57.2500E-03,+11.0939445E+00,+23.5120E-03
-57.1340E-03,+10.9136167E+00,+22.9377E-03
-57.0180E-03,+10.7235234E+00,+22.3190E-03
-56.9020E-03,+10.5282109E+00,+21.6490E-03
-56.7860E-03,+10.3328984E+00,+20.8900E-03
-56.6700E-03,+10.1330394E+00,+20.0287E-03
-56.5540E-03,+9.9279613E+00,+19.1228E-03
-56.4380E-03,+9.7228831E+00,+18.0767E-03
-56.3220E-03,+9.5178050E+00,+16.9282E-03
-56.2060E-03,+9.3127269E+00,+15.7352E-03
-56.0900E-03,+9.1076488E+00,+14.4465E-03
-55.9740E-03,+8.9025706E+00,+13.0176E-03
-55.8580E-03,+8.6883995E+00,+11.4418E-03
-55.7420E-03,+8.4683366E+00,+9.6812E-03
-55.6260E-03,+8.2534929E+00,+7.6334E-03
-55.5100E-03,+8.0431956E+00,+5.4768E-03
-55.3940E-03,+7.8381175E+00,+3.1931E-03
-55.2780E-03,+7.6284929E+00,+571.2E-06
-55.1620E-03,+7.4227421E+00,-2.3379E-03
-55.0460E-03,+7.2228831E+00,-5.7123E-03
-54.9300E-03,+7.0132585E+00,-9.6675E-03
-54.8140E-03,+6.8029613E+00,-14.3240E-03
-54.6980E-03,+6.5933366E+00,-19.8038E-03
-54.5820E-03,+6.3784929E+00,-26.2209E-03
-54.4660E-03,+6.1636491E+00,-33.8376E-03
-54.3500E-03,+5.9533519E+00,-43.0038E-03
-54.2340E-03,+5.7528202E+00,-54.2242E-03
-54.1180E-03,+5.5529613E+00,-67.1046E-03
-54.0020E-03,+5.3433366E+00,-80.0641E-03
-53.8860E-03,+5.1330394E+00,-89.4691E-03
-53.7700E-03,+4.9234148E+00,-90.2408E-03
-53.6540E-03,+4.7131175E+00,-81.6801E-03
-53.5380E-03,+4.5080394E+00,-68.4878E-03
-53.4220E-03,+4.2938683E+00,-54.9030E-03
-53.3060E-03,+4.0783519E+00,-43.0078E-03
-53.1900E-03,+3.8732738E+00,-33.1802E-03
-53.0740E-03,+3.6727421E+00,-24.9993E-03
-52.9580E-03,+3.4728831E+00,-18.1137E-03
-52.8420E-03,+3.2678050E+00,-12.3385E-03
-52.7260E-03,+3.0672734E+00,-7.4313E-03
-52.6100E-03,+2.8719609E+00,-3.2897E-03
-52.4940E-03,+2.6766484E+00,+220.0E-06
-52.3780E-03,+2.4858824E+00,+3.2511E-03
-52.2620E-03,+2.3003355E+00,+5.9374E-03
-52.1460E-03,+2.1147886E+00,+8.4322E-03
-52.0300E-03,+1.9246952E+00,+10.6466E-03
-51.9140E-03,+1.7339292E+00,+12.5673E-03
-51.7980E-03,+1.5438359E+00,+14.2965E-03
-51.6820E-03,+1.3530699E+00,+15.8789E-03
-51.5660E-03,+1.1629765E+00,+17.3210E-03
-51.4500E-03,+972.2105E-03,+18.6163E-03
-51.3340E-03,+786.6636E-03,+19.8159E-03
-51.2180E-03,+601.1167E-03,+20.9198E-03
-51.1020E-03,+415.5699E-03,+21.8834E-03
-50.9860E-03,+230.0230E-03,+22.7447E-03
-50.8700E-03,+49.0226E-03,+23.5170E-03
-50.7540E-03,-126.7587E-03,+24.1869E-03
-50.6380E-03,-302.5399E-03,+24.8123E-03
-50.5220E-03,-473.7747E-03,+25.3419E-03
-50.4060E-03,-644.3368E-03,+25.8204E-03
-50.2900E-03,-820.1180E-03,+26.2544E-03
-50.1740E-03,-1.0004458E+00,+26.6372E-03
-50.0580E-03,-1.1814462E+00,+26.9309E-03
-49.9420E-03,-1.3617739E+00,+27.1669E-03
-49.8260E-03,-1.5427743E+00,+27.3649E-03
-49.7100E-03,-1.7185555E+00,+27.4606E-03
-49.5940E-03,-1.8988833E+00,+27.5117E-03
-49.4780E-03,-2.0753372E+00,+27.5117E-03
-49.3620E-03,-2.2504458E+00,+27.5117E-03
-49.2460E-03,-2.4268997E+00,+27.4226E-03
-49.1300E-03,-2.5974618E+00,+27.2312E-03
-49.0140E-03,-2.7777895E+00,+27.0398E-03
-48.8980E-03,-2.9542434E+00,+26.8038E-03
-48.7820E-03,-3.1202590E+00,+26.4722E-03
-48.6660E-03,-3.2862747E+00,+26.0894E-03
-48.5500E-03,-3.4522903E+00,+25.6620E-03
-48.4340E-03,-3.6183059E+00,+25.1835E-03
-48.3180E-03,-3.7797751E+00,+24.6604E-03
-48.2020E-03,-3.9451180E+00,+24.0862E-03
-48.0860E-03,-4.1118063E+00,+23.4674E-03
-47.9700E-03,-4.2726028E+00,+22.7529E-03
-47.8540E-03,-4.4431649E+00,+21.9427E-03
-47.7380E-03,-4.6098532E+00,+21.0369E-03
-47.6220E-03,-4.7706497E+00,+20.0353E-03
-47.5060E-03,-4.9412118E+00,+18.9825E-03
-47.3900E-03,-5.1079001E+00,+17.8407E-03
-47.2740E-03,-5.2686965E+00,+16.5966E-03
-47.1580E-03,-5.4347122E+00,+15.2633E-03
-47.0420E-03,-5.6007278E+00,+13.7832E-03
